"Year","Month","Precip.Kerala"
1951,1,6.6
1951,2,6.5
1951,3,41.6
1951,4,175.9
1951,5,148.5
1951,6,774.1
1951,7,544.6
1951,8,190.6
1951,9,313.8
1951,10,250.6
1951,11,229.6
1951,12,23.2
1952,1,5.2
1952,2,48.2
1952,3,20.8
1952,4,112.2
1952,5,214.6
1952,6,576.7
1952,7,430
1952,8,413.6
1952,9,57.4
1952,10,339.6
1952,11,49.6
1952,12,66.9
1953,1,13.1
1953,2,22.6
1953,3,18.5
1953,4,132.4
1953,5,55.4
1953,6,340.5
1953,7,1027.6
1953,8,356.4
1953,9,100.5
1953,10,410.5
1953,11,62.2
1953,12,5.1
1954,1,23.5
1954,2,2.8
1954,3,90.6
1954,4,136.9
1954,5,179.5
1954,6,798.3
1954,7,640.5
1954,8,467
1954,9,201.6
1954,10,303.1
1954,11,31.6
1954,12,62.5
1955,1,4.2
1955,2,6.3
1955,3,28.2
1955,4,125.9
1955,5,544.2
1955,6,782.4
1955,7,392.8
1955,8,236
1955,9,438.5
1955,10,378.2
1955,11,178.1
1955,12,19.8
1956,1,7.9
1956,2,11.7
1956,3,15.1
1956,4,151.6
1956,5,351.3
1956,6,755.4
1956,7,466.8
1956,8,319.5
1956,9,178.4
1956,10,353.3
1956,11,178.2
1956,12,9.1
1957,1,1.2
1957,2,16
1957,3,25.7
1957,4,70.2
1957,5,381.2
1957,6,872
1957,7,835.3
1957,8,358.8
1957,9,41.3
1957,10,280.1
1957,11,192.5
1957,12,28.9
1958,1,4.4
1958,2,19.3
1958,3,57.3
1958,4,135.1
1958,5,353.5
1958,6,713.3
1958,7,622.7
1958,8,526.6
1958,9,86.1
1958,10,191
1958,11,206.1
1958,12,7.7
1959,1,3
1959,2,21.4
1959,3,6.3
1959,4,150.7
1959,5,347.2
1959,6,872.8
1959,7,1155.7
1959,8,397.3
1959,9,405.5
1959,10,200.4
1959,11,151.9
1959,12,34
1960,1,9.4
1960,2,8.4
1960,3,44.4
1960,4,206.6
1960,5,540
1960,6,480.3
1960,7,750.9
1960,8,336.8
1960,9,371.2
1960,10,255.9
1960,11,358
1960,12,23.7
1961,1,13.7
1961,2,31.3
1961,3,11.4
1961,4,94.1
1961,5,500.5
1961,6,1005.2
1961,7,1146.5
1961,8,678.3
1961,9,399.3
1961,10,274.2
1961,11,85.9
1961,12,17.5
1962,1,28.4
1962,2,54.7
1962,3,39.6
1962,4,95.1
1962,5,472.4
1962,6,244.9
1962,7,951.1
1962,8,510.7
1962,9,394.9
1962,10,475.6
1962,11,31.5
1962,12,76.9
1963,1,30.2
1963,2,24.8
1963,3,69.8
1963,4,96.3
1963,5,157.1
1963,6,393.3
1963,7,720.2
1963,8,511
1963,9,223.9
1963,10,282.6
1963,11,93.4
1963,12,48.4
1964,1,1.1
1964,2,7.8
1964,3,67.2
1964,4,83.3
1964,5,94.8
1964,6,379.4
1964,7,754.2
1964,8,548
1964,9,398.2
1964,10,325.7
1964,11,191.7
1964,12,17.8
1965,1,9.1
1965,2,0.9
1965,3,28.3
1965,4,109.8
1965,5,214.5
1965,6,597.7
1965,7,465.1
1965,8,296.1
1965,9,150.1
1965,10,183.7
1965,11,131.7
1965,12,155.5
1966,1,3
1966,2,6.9
1966,3,67.7
1966,4,167.4
1966,5,95.2
1966,6,496.2
1966,7,601.9
1966,8,202.1
1966,9,293.2
1966,10,392.3
1966,11,245.4
1966,12,50.5
1967,1,14.3
1967,2,0.1
1967,3,24.6
1967,4,70.1
1967,5,244.9
1967,6,541.7
1967,7,741.4
1967,8,508.4
1967,9,145.8
1967,10,172.7
1967,11,74
1967,12,31.1
1968,1,7.3
1968,2,30.5
1968,3,89.2
1968,4,133.3
1968,5,90
1968,6,696.4
1968,7,1308.9
1968,8,380.7
1968,9,325.4
1968,10,178.9
1968,11,119.4
1968,12,32.7
1969,1,2.7
1969,2,6.4
1969,3,19.4
1969,4,117.2
1969,5,227.4
1969,6,550.5
1969,7,818.8
1969,8,284.8
1969,9,216.4
1969,10,235.6
1969,11,119.4
1969,12,66.3
1970,1,12.9
1970,2,17.6
1970,3,25.8
1970,4,132.7
1970,5,289.1
1970,6,535.3
1970,7,558.1
1970,8,554.8
1970,9,212.5
1970,10,278.3
1970,11,80.5
1970,12,5.7
1971,1,31.6
1971,2,18.5
1971,3,20
1971,4,113
1971,5,317.5
1971,6,889.6
1971,7,648.6
1971,8,385.2
1971,9,331.2
1971,10,220.9
1971,11,38.3
1971,12,62.3
1972,1,2.6
1972,2,7.5
1972,3,2.5
1972,4,87.5
1972,5,436
1972,6,401.8
1972,7,714.4
1972,8,294.9
1972,9,185.7
1972,10,351.5
1972,11,140.5
1972,12,114.3
1973,1,0
1973,2,0.3
1973,3,12.3
1973,4,131.5
1973,5,119.9
1973,6,617
1973,7,583.5
1973,8,487.5
1973,9,61.3
1973,10,260.8
1973,11,84.5
1973,12,53.8
1974,1,1.6
1974,2,5.4
1974,3,16
1974,4,128
1974,5,221.5
1974,6,266.9
1974,7,1004.2
1974,8,533.6
1974,9,383.6
1974,10,142.1
1974,11,61
1974,12,3.6
1975,1,5.2
1975,2,21.4
1975,3,63.4
1975,4,123.8
1975,5,162.2
1975,6,864.4
1975,7,531.3
1975,8,675.9
1975,9,457.7
1975,10,368.9
1975,11,204.3
1975,12,19.9
1976,1,0.1
1976,2,1.5
1976,3,21
1976,4,134.5
1976,5,75.8
1976,6,196.8
1976,7,641.5
1976,8,342.6
1976,9,116.2
1976,10,221.3
1976,11,286.7
1976,12,30.8
1977,1,1.1
1977,2,15.7
1977,3,28.3
1977,4,102.3
1977,5,306.4
1977,6,599.6
1977,7,753.3
1977,8,234.2
1977,9,201.3
1977,10,437
1977,11,361.7
1977,12,6.7
1978,1,3.3
1978,2,14.7
1978,3,31.4
1978,4,73.9
1978,5,396.8
1978,6,758.1
1978,7,686.7
1978,8,516.8
1978,9,119.4
1978,10,171
1978,11,365.6
1978,12,39
1979,1,2.4
1979,2,30
1979,3,11.7
1979,4,42
1979,5,127.7
1979,6,582.9
1979,7,662.2
1979,8,383.7
1979,9,211.7
1979,10,163.8
1979,11,261.7
1979,12,23.3
1980,1,0
1980,2,0.9
1980,3,20.8
1980,4,114.8
1980,5,105.3
1980,6,745.9
1980,7,754
1980,8,438.1
1980,9,139.5
1980,10,282.3
1980,11,162.3
1980,12,39.5
1981,1,7
1981,2,6.8
1981,3,28.5
1981,4,75.9
1981,5,166.3
1981,6,912.4
1981,7,489.8
1981,8,495.6
1981,9,376.6
1981,10,265
1981,11,138.6
1981,12,43.3
1982,1,0.7
1982,2,0.1
1982,3,21.9
1982,4,60.4
1982,5,148.2
1982,6,612.2
1982,7,511.5
1982,8,495
1982,9,70.6
1982,10,164.4
1982,11,127.5
1982,12,10.8
1983,1,0.2
1983,2,1.5
1983,3,0.9
1983,4,13.1
1983,5,76
1983,6,322.8
1983,7,583.2
1983,8,579.9
1983,9,497.6
1983,10,136.2
1983,11,116.5
1983,12,69.1
1984,1,36.8
1984,2,60
1984,3,95.3
1984,4,162.1
1984,5,84.6
1984,6,842.6
1984,7,653.6
1984,8,284.4
1984,9,171.1
1984,10,286
1984,11,67.7
1984,12,18
1985,1,61.2
1985,2,6.1
1985,3,29.3
1985,4,66.6
1985,5,254.2
1985,6,828.7
1985,7,388.9
1985,8,315.3
1985,9,117.6
1985,10,204
1985,11,74.9
1985,12,44
1986,1,5.6
1986,2,18.7
1986,3,11.2
1986,4,63.1
1986,5,126.7
1986,6,597.9
1986,7,324.8
1986,8,340.3
1986,9,235.4
1986,10,165.5
1986,11,194.7
1986,12,9.5
1987,1,0.6
1987,2,0.8
1987,3,4.3
1987,4,57.2
1987,5,108.3
1987,6,572.6
1987,7,221
1987,8,396.6
1987,9,157
1987,10,272.1
1987,11,216
1987,12,131.1
1988,1,0.8
1988,2,17.5
1988,3,38.1
1988,4,177.6
1988,5,157.2
1988,6,511.3
1988,7,502.8
1988,8,379.8
1988,9,451.7
1988,10,68.5
1988,11,67
1988,12,31.1
1989,1,10.3
1989,2,0
1989,3,30.1
1989,4,141.5
1989,5,169.4
1989,6,657.5
1989,7,450.7
1989,8,285.5
1989,9,271.1
1989,10,308
1989,11,92.9
1989,12,5.6
1990,1,14.9
1990,2,4.8
1990,3,18
1990,4,41.8
1990,5,488.5
1990,6,528.6
1990,7,635.4
1990,8,370.8
1990,9,103.3
1990,10,323.2
1990,11,158.8
1990,12,5.2
1991,1,10.9
1991,2,4.4
1991,3,33.2
1991,4,97
1991,5,113.4
1991,6,1096.1
1991,7,905.5
1991,8,465.5
1991,9,48.5
1991,10,307.8
1991,11,99.9
1991,12,2.3
1992,1,2.4
1992,2,0.9
1992,3,0.1
1992,4,43
1992,5,218.4
1992,6,819.3
1992,7,767.8
1992,8,508
1992,9,297.5
1992,10,290.7
1992,11,287.6
1992,12,3.7
1993,1,0
1993,2,17.8
1993,3,20.1
1993,4,66.5
1993,5,159
1993,6,657.1
1993,7,776.1
1993,8,301.9
1993,9,88
1993,10,431.2
1993,11,153.8
1993,12,46.2
1994,1,24.3
1994,2,27.1
1994,3,18.1
1994,4,154.5
1994,5,141.3
1994,6,845
1994,7,955.5
1994,8,479.9
1994,9,212.6
1994,10,428.4
1994,11,117.6
1994,12,6.5
1995,1,10.3
1995,2,6.5
1995,3,37.3
1995,4,134.9
1995,5,355.6
1995,6,493.4
1995,7,702.5
1995,8,457.3
1995,9,280
1995,10,198.3
1995,11,182.6
1995,12,0.1
1996,1,2.8
1996,2,9.1
1996,3,14.4
1996,4,124.3
1996,5,74.3
1996,6,572.4
1996,7,696
1996,8,327.4
1996,9,342.7
1996,10,294.1
1996,11,89.9
1996,12,62.5
1997,1,2.1
1997,2,1.5
1997,3,36.1
1997,4,60.6
1997,5,133.6
1997,6,544.2
1997,7,970.5
1997,8,536
1997,9,292.2
1997,10,288.9
1997,11,298.4
1997,12,88.4
1998,1,6
1998,2,2.1
1998,3,8.1
1998,4,61.1
1998,5,151.6
1998,6,732.5
1998,7,641.4
1998,8,371.8
1998,9,517.6
1998,10,444.8
1998,11,135
1998,12,79.4
1999,1,1.8
1999,2,23.8
1999,3,21.4
1999,4,111.6
1999,5,453.2
1999,6,607.3
1999,7,700.4
1999,8,266.3
1999,9,88
1999,10,567.9
1999,11,68.1
1999,12,4.9
2000,1,11.7
2000,2,57.8
2000,3,21.5
2000,4,96.3
2000,5,124.5
2000,6,633.8
2000,7,343.2
2000,8,566.5
2000,9,195.8
2000,10,214.2
2000,11,78.1
2000,12,69.1
2001,1,20
2001,2,29.2
2001,3,6.9
2001,4,229.8
2001,5,246.7
2001,6,709.2
2001,7,587.4
2001,8,347.9
2001,9,224.8
2001,10,319.9
2001,11,178
2001,12,10.8
2002,1,6.6
2002,2,9.8
2002,3,34.5
2002,4,116.9
2002,5,340.7
2002,6,491
2002,7,318.9
2002,8,422.2
2002,9,89.8
2002,10,486.7
2002,11,137.9
2002,12,2.3
2003,1,1.2
2003,2,52.9
2003,3,66.2
2003,4,128.1
2003,5,89
2003,6,534.6
2003,7,501.6
2003,8,327.1
2003,9,92.6
2003,10,388.7
2003,11,85.9
2003,12,7.9
2004,1,2.7
2004,2,6.2
2004,3,34.6
2004,4,109.3
2004,5,597.9
2004,6,693.4
2004,7,398.2
2004,8,439.3
2004,9,192
2004,10,317.8
2004,11,118.5
2004,12,1.4
2005,1,18.7
2005,2,6.6
2005,3,25.8
2005,4,202.9
2005,5,137.3
2005,6,634.9
2005,7,877.1
2005,8,301.4
2005,9,431.3
2005,10,250.5
2005,11,202
2005,12,62.5
2006,1,9
2006,2,0.6
2006,3,80.1
2006,4,73
2006,5,521.2
2006,6,577.1
2006,7,569.4
2006,8,396.4
2006,9,481.2
2006,10,374.8
2006,11,213
2006,12,1.9
2007,1,0.4
2007,2,5.6
2007,3,8
2007,4,143.4
2007,5,202.7
2007,6,737.4
2007,7,996.1
2007,8,502.5
2007,9,550.2
2007,10,366.1
2007,11,93.7
2007,12,13.4
2008,1,0.8
2008,2,29.7
2008,3,216
2008,4,103.7
2008,5,78.6
2008,6,478
2008,7,508.7
2008,8,347.8
2008,9,343.9
2008,10,354.1
2008,11,56.8
2008,12,16.1
2009,1,3.2
2009,2,1.3
2009,3,64.2
2009,4,67.8
2009,5,190.4
2009,6,433.6
2009,7,927.5
2009,8,270.3
2009,9,327.6
2009,10,210.1
2009,11,274.2
2009,12,45.7
2010,1,18.4
2010,2,1
2010,3,31.9
2010,4,140.3
2010,5,189.8
2010,6,669.1
2010,7,630
2010,8,358.3
2010,9,273.8
2010,10,442.5
2010,11,339
2010,12,47.9
2011,1,20.6
2011,2,46.1
2011,3,25.3
2011,4,165.2
2011,5,121.6
2011,6,790.5
2011,7,538.4
2011,8,495.3
2011,9,391.9
2011,10,230.9
2011,11,165.8
2011,12,50
2012,1,7.4
2012,2,9.1
2012,3,29.6
2012,4,197.5
2012,5,83.8
2012,6,444.6
2012,7,360.6
2012,8,502.6
2012,9,240
2012,10,189.3
2012,11,113.4
2012,12,9.7
2013,1,3.9
2013,2,40.1
2013,3,49.9
2013,4,49.3
2013,5,119.3
2013,6,1042.7
2013,7,830.2
2013,8,369.7
2013,9,318.6
2013,10,259.9
2013,11,154.9
2013,12,17
2014,1,4.6
2014,2,10.3
2014,3,17.9
2014,4,95.7
2014,5,251
2014,6,454.4
2014,7,677.8
2014,8,733.9
2014,9,298.8
2014,10,355.5
2014,11,99.5
2014,12,47.2