"Year","Month","precip.gpcp.kerala","precip.gpcp.karnataka"
1979,1,0,0.291722804307938
1979,2,0.623105883598328,0.0335837937891483
1979,3,0.315916061401367,0
1979,4,0.411542147397995,0.0837363973259926
1979,5,0.865002572536469,0.830996692180634
1979,6,6.67908668518066,5.61768913269043
1979,7,7.58276271820068,3.77554965019226
1979,8,1.87151563167572,1.29909932613373
1979,9,5.9294638633728,4.68061304092407
1979,10,2.1010468006134,1.88177585601807
1979,11,4.72841262817383,3.40933203697205
1979,12,1.42716324329376,0.602818429470062
1980,1,0,0
1980,2,0.143337562680244,0.0422785542905331
1980,3,0.153809890151024,0.18167769908905
1980,4,1.39371764659882,0.22290264070034
1980,5,4.54310131072998,1.09481227397919
1980,6,8.50800228118896,12.6382722854614
1980,7,6.05648279190063,1.98067736625671
1980,8,5.40242671966553,2.85693764686584
1980,9,3.43083024024963,2.24597692489624
1980,10,4.06543827056885,1.58355498313904
1980,11,1.27164733409882,0.86091822385788
1980,12,2.34042644500732,1.45236611366272
1981,1,0.467613130807877,0.0312248002737761
1981,2,0.225466176867485,0
1981,3,0.152484610676765,0.0803156569600105
1981,4,1.46512091159821,0.261397540569305
1981,5,4.84553909301758,1.23975396156311
1981,6,11.4978609085083,14.6035661697388
1981,7,4.51388502120972,3.16631984710693
1981,8,4.72377872467041,2.53401780128479
1981,9,7.34301376342773,5.82987594604492
1981,10,4.27813386917114,2.14989447593689
1981,11,3.13160395622253,1.00306487083435
1981,12,1.23824334144592,1.21136140823364
1982,1,0.11014723777771,0.0305868070572615
1982,2,0.0705266296863556,0.00638327747583389
1982,3,0.305190116167068,0.00900193303823471
1982,4,0.465479612350464,0
1982,5,3.55396628379822,1.58768475055695
1982,6,8.07045459747314,3.12820816040039
1982,7,7.76503467559814,4.65740585327148
1982,8,6.07563829421997,4.09376239776611
1982,9,3.05540776252747,2.74421501159668
1982,10,2.29491591453552,0.631840944290161
1982,11,6.82364559173584,3.48253297805786
1982,12,2.70928716659546,1.29643583297729
1983,1,0.313929051160812,0
1983,2,0.41507351398468,0.176946476101875
1983,3,0.0118428766727448,0
1983,4,0.665296196937561,0.00651422142982483
1983,5,0,0.501806795597076
1983,6,5.20956563949585,3.57126331329346
1983,7,5.84725570678711,4.93093633651733
1983,8,8.01779937744141,5.61140775680542
1983,9,8.73797035217285,6.71186876296997
1983,10,2.30375456809998,1.43421542644501
1983,11,2.31178283691406,0.645380079746246
1983,12,2.94262504577637,1.72382164001465
1984,1,2.27643227577209,0.585873961448669
1984,2,2.43795490264893,0.389288991689682
1984,3,0.743408501148224,0.351637989282608
1984,4,3.53054285049438,0.521835029125214
1984,5,4.42704439163208,2.97207689285278
1984,6,10.4409761428833,8.42306804656982
1984,7,6.06356525421143,4.79210472106934
1984,8,1.88580870628357,1.9680507183075
1984,9,2.8107225894928,2.9663200378418
1984,10,1.47350907325745,3.33276605606079
1984,11,3.87848782539368,0.788293182849884
1984,12,0.301218271255493,0
1985,1,1.05414533615112,0.456032693386078
1985,2,1.56221318244934,0.671141862869263
1985,3,0.653929710388184,0.0763374045491219
1985,4,2.24940466880798,0.225978940725327
1985,5,6.74402141571045,3.00436234474182
1985,6,8.32910346984863,5.10183620452881
1985,7,5.32439470291138,5.66694450378418
1985,8,6.63999271392822,1.40083837509155
1985,9,5.71533060073853,3.24380731582642
1985,10,2.33365297317505,1.62160241603851
1985,11,2.10299968719482,0.768815398216248
1985,12,1.71082210540771,1.02861487865448
1986,1,0.642851650714874,0.0625141561031342
1986,2,0.57870090007782,0.116714924573898
1986,3,1.41650009155273,0.167600333690643
1986,4,1.4578640460968,0.106174804270267
1986,5,3.46211647987366,1.15588736534119
1986,6,10.4339904785156,10.409854888916
1986,7,3.66185832023621,0.436193525791168
1986,8,3.49224472045898,1.18415212631226
1986,9,5.41862964630127,2.82957696914673
1986,10,2.9859778881073,0.39201095700264
1986,11,1.90637028217316,2.27863883972168
1986,12,1.72848498821259,0.63510274887085
1987,1,0.884981036186218,0.191065728664398
1987,2,0.262549877166748,0.0192431081086397
1987,3,0.0545575246214867,0.00812021177262068
1987,4,1.72708415985107,0.0449386425316334
1987,5,2.87320995330811,1.08253860473633
1987,6,8.82287311553955,9.03701972961426
1987,7,0.227648302912712,0.480143964290619
1987,8,6.39326286315918,3.44614148139954
1987,9,5.38543605804443,1.91356945037842
1987,10,2.45256328582764,1.49829721450806
1987,11,2.61843776702881,0.664302945137024
1987,12,1.92898869514465,1.60864436626434
1988,1,0.180044680833817,0.0380506776273251
1988,2,1.0034099817276,0.0492115542292595
1988,3,0.721648454666138,0.0512920618057251
1988,4,2.41127490997314,0.352644830942154
1988,5,4.09352540969849,3.63997220993042
1988,6,11.2022972106934,14.6500015258789
1988,7,13.6815309524536,8.07265281677246
1988,8,4.06139850616455,5.81551551818848
1988,9,5.02808284759521,9.09843730926514
1988,10,0.641937255859375,0.623799085617065
1988,11,3.41039776802063,0.339036345481873
1988,12,0.641075730323792,0.131717577576637
1989,1,0.596033096313477,0.0612043738365173
1989,2,0.317177504301071,0.024483323097229
1989,3,0.476573199033737,0.106849119067192
1989,4,3.033038854599,0.702155947685242
1989,5,4.03417587280273,1.04765129089355
1989,6,10.2489318847656,7.59251022338867
1989,7,6.86785507202148,5.05569648742676
1989,8,4.86951541900635,2.35413527488708
1989,9,5.92673778533936,4.50407361984253
1989,10,2.38623547554016,0.927496492862701
1989,11,1.98685741424561,0.685544788837433
1989,12,0.849000334739685,0.389558285474777
1990,1,0.775562524795532,0.517893970012665
1990,2,0.184189051389694,0.0200193058699369
1990,3,0.73034679889679,0.184902310371399
1990,4,0.51073282957077,0.189138039946556
1990,5,6.07420825958252,7.99426460266113
1990,6,4.98505973815918,2.25124597549438
1990,7,6.90019989013672,2.94129705429077
1990,8,3.48639535903931,7.35340118408203
1990,9,2.97921848297119,0.957682132720947
1990,10,5.85784816741943,2.09902906417847
1990,11,2.76087355613708,1.34602856636047
1990,12,1.60740327835083,0.189662501215935
1991,1,1.16541743278503,0.0686186403036118
1991,2,0.133209645748138,0.0282906126230955
1991,3,0.534489989280701,0.0551755726337433
1991,4,0.95119035243988,0.27554127573967
1991,5,2.02208423614502,1.78380525112152
1991,6,14.6768493652344,10.446270942688
1991,7,9.17017078399658,5.29501724243164
1991,8,5.67728519439697,1.64841890335083
1991,9,0.891450226306915,2.86119246482849
1991,10,3.09676551818848,0.998618483543396
1991,11,2.05693769454956,0.44357368350029
1991,12,1.27002310752869,0.0678365603089333
1992,1,0.248180270195007,0.0570478513836861
1992,2,0.111742220818996,0.00830559618771076
1992,3,0.0789046585559845,0.0157193653285503
1992,4,0.815801024436951,0.218132302165031
1992,5,7.33247470855713,0.646558463573456
1992,6,7.98561000823975,9.24990653991699
1992,7,9.99378776550293,8.20734405517578
1992,8,8.4995174407959,4.83961248397827
1992,9,5.27520751953125,4.99400806427002
1992,10,2.33491945266724,1.42229580879211
1992,11,4.97512435913086,0.945512413978577
1992,12,2.73096966743469,0.354679763317108
1993,1,0.34139558672905,0.042425874620676
1993,2,0.152217671275139,0.0338909924030304
1993,3,0.528524279594421,0.148258522152901
1993,4,0.856402099132538,0.259751707315445
1993,5,5.08548259735107,0.965934693813324
1993,6,11.1145858764648,10.536810874939
1993,7,7.49383163452148,4.19684886932373
1993,8,5.08771753311157,1.64420652389526
1993,9,4.02626037597656,1.63397979736328
1993,10,4.45492076873779,5.48489093780518
1993,11,7.29692220687866,4.27950286865234
1993,12,2.16056203842163,0.606331944465637
1994,1,0.841042757034302,0.626535773277283
1994,2,0.485635221004486,0.0131196109578013
1994,3,0.714484572410583,0.111473947763443
1994,4,1.69845223426819,0.611372709274292
1994,5,6.32403564453125,2.39357852935791
1994,6,10.5515441894531,10.2737693786621
1994,7,6.89759826660156,1.93356823921204
1994,8,5.96378707885742,3.17953872680664
1994,9,2.33509850502014,0.96935373544693
1994,10,8.20532417297363,1.65661954879761
1994,11,5.5385799407959,2.28897094726562
1994,12,0.446365386247635,0.0296743214130402
1995,1,0.89012199640274,0.6935133934021
1995,2,0.454448491334915,0.0242156982421875
1995,3,0.442343533039093,0.04379678145051
1995,4,1.21577715873718,0.283956468105316
1995,5,2.71015763282776,0.700713276863098
1995,6,5.63042163848877,10.8114366531372
1995,7,7.74865007400513,9.32403182983398
1995,8,8.63498401641846,6.49996614456177
1995,9,1.27921056747437,1.49452137947083
1995,10,2.47427296638489,2.25539755821228
1995,11,4.33159446716309,0.551945686340332
1995,12,0.384249269962311,0.0465855076909065
1996,1,0.990779638290405,0.215212881565094
1996,2,0.409686625003815,0.0282494220882654
1996,3,0.373987048864365,0.0388853400945663
1996,4,1.66254949569702,0.384600549936295
1996,5,2.65288400650024,0.779338955879211
1996,6,10.3699560165405,11.0215797424316
1996,7,4.96011781692505,7.58416557312012
1996,8,6.61253023147583,2.87398958206177
1996,9,3.99347591400146,1.88028645515442
1996,10,3.93609285354614,3.23963522911072
1996,11,1.91350781917572,0.391539394855499
1996,12,4.35350561141968,7.22804975509644
1997,1,0.180953741073608,0.0509850233793259
1997,2,0.103702776134014,0.00974166486412287
1997,3,0.453063696622849,0.0264334157109261
1997,4,0.918177604675293,0.209838479757309
1997,5,3.03003239631653,0.126498118042946
1997,6,5.640212059021,6.7088680267334
1997,7,10.9460544586182,6.49687480926514
1997,8,5.31061172485352,2.14992666244507
1997,9,4.05004119873047,0.871880054473877
1997,10,4.78413581848145,1.05141568183899
1997,11,5.7555365562439,2.03913855552673
1997,12,3.61281633377075,2.51891899108887
1998,1,0.764862656593323,0.0892100557684898
1998,2,0.078505851328373,0.0379781648516655
1998,3,0.228323772549629,0.0649177730083466
1998,4,0.961026310920715,0.0408322587609291
1998,5,4.35822772979736,1.43069434165955
1998,6,9.37233924865723,11.9316291809082
1998,7,7.47706508636475,9.16599559783936
1998,8,6.1860818862915,6.41689443588257
1998,9,6.66083002090454,8.34890365600586
1998,10,8.79227542877197,4.75877475738525
1998,11,4.28297233581543,1.97067725658417
1998,12,5.01843929290771,6.74911499023438
1999,1,0.352422147989273,0.0194498635828495
1999,2,0.343691021203995,0.0493563562631607
1999,3,0.363562971353531,0.00897778663784266
1999,4,0.863630712032318,0.00621059676632285
1999,5,9.58530330657959,7.9175386428833
1999,6,4.77598857879639,3.74410223960876
1999,7,10.0632219314575,13.0275192260742
1999,8,3.36248278617859,0.2173952460289
1999,9,2.0868353843689,0.908861756324768
1999,10,9.20065021514893,6.11323118209839
1999,11,2.77436137199402,1.53800368309021
1999,12,1.63456523418427,0.0252020079642534
2000,1,2.53483438491821,0.0750157758593559
2000,2,1.48258137702942,0.031640887260437
2000,3,0.33532589673996,0.0167261492460966
2000,4,2.77897500991821,0.152462035417557
2000,5,6.86714220046997,4.47265625
2000,6,7.76177501678467,8.25240325927734
2000,7,2.5900297164917,4.17883157730103
2000,8,6.17440271377563,4.84576892852783
2000,9,5.01366233825684,2.50551509857178
2000,10,4.05433988571167,4.27129554748535
2000,11,2.60670280456543,0.549152314662933
2000,12,0.545012176036835,0.386727899312973
2001,1,1.33843863010406,0.0808506533503532
2001,2,1.38958513736725,0.0969181805849075
2001,3,0.00650631450116634,0.0291030295193195
2001,4,6.23945474624634,0.160888105630875
2001,5,8.54670906066895,5.87454891204834
2001,6,9.75711917877197,4.52349758148193
2001,7,8.38328647613525,4.22387075424194
2001,8,4.1035532951355,2.43096399307251
2001,9,6.36441421508789,3.1928083896637
2001,10,2.86751389503479,1.15084767341614
2001,11,2.1614818572998,0.214265838265419
2001,12,0.488463938236237,0.110165804624557
2002,1,0.243876188993454,0.00484539056196809
2002,2,1.56775295734406,0.135609745979309
2002,3,0.567552506923676,0.0104490788653493
2002,4,1.80847477912903,0.0251008216291666
2002,5,7.23056983947754,5.40919780731201
2002,6,8.03288650512695,15.1181907653809
2002,7,3.05325174331665,0.265894025564194
2002,8,5.15415477752686,2.06971120834351
2002,9,0.819526553153992,1.07057356834412
2002,10,6.91884231567383,4.8772554397583
2002,11,3.56582474708557,0.692403078079224
2002,12,1.01525366306305,0.0919568464159966
2003,1,0.388717591762543,0.564833998680115
2003,2,1.22252511978149,0.0330816954374313
2003,3,0.531384766101837,0.0670879110693932
2003,4,1.66034400463104,0.00947931781411171
2003,5,2.07608604431152,0.120408706367016
2003,6,11.1878690719604,9.7852897644043
2003,7,9.11515712738037,7.88672304153442
2003,8,3.2374279499054,1.22464776039124
2003,9,1.91700029373169,0.95478081703186
2003,10,7.39312934875488,3.00461888313293
2003,11,5.2595100402832,0.803797662258148
2003,12,0.306696265935898,0.00223156297579408
2004,1,0.305025547742844,0.0824547335505486
2004,2,0.136411175131798,0.0483368821442127
2004,3,0.252644956111908,0.0414466261863708
2004,4,1.92673754692078,0.08830276876688
2004,5,7.37846183776855,11.0365629196167
2004,6,7.10382747650146,9.36906147003174
2004,7,6.83276414871216,3.19598984718323
2004,8,4.16154050827026,2.45109343528748
2004,9,4.86425971984863,5.47481393814087
2004,10,6.20078277587891,1.37138235569
2004,11,3.78111958503723,3.78759431838989
2004,12,0.983672857284546,0.0203392952680588
2005,1,0.573178768157959,0.174344718456268
2005,2,0.18951179087162,0.0494073331356049
2005,3,0.0989744663238525,0.0339582040905952
2005,4,4.68660497665405,0.223668843507767
2005,5,4.76832914352417,0.529728889465332
2005,6,6.08137989044189,9.04288768768311
2005,7,7.36487245559692,7.85876846313477
2005,8,2.0477020740509,0.6456019282341
2005,9,8.80365562438965,7.68853139877319
2005,10,4.60049819946289,3.17066121101379
2005,11,5.09505319595337,4.0850830078125
2005,12,2.88397264480591,1.56889736652374
2006,1,2.56861805915833,0.0225978307425976
2006,2,0.0481577813625336,0.0194203741848469
2006,3,0.913636445999146,0.0784499570727348
2006,4,0.362008273601532,0.000948071829043329
2006,5,10.8720016479492,8.77129459381104
2006,6,6.6168041229248,10.0326728820801
2006,7,3.31761693954468,0.731335520744324
2006,8,6.09955930709839,0.8886998295784
2006,9,9.59284400939941,5.84342050552368
2006,10,5.75492000579834,0.582285106182098
2006,11,6.54361343383789,4.32467794418335
2006,12,1.612309217453,0.135306403040886
2007,1,0.266994953155518,0.25222983956337
2007,2,0.473033040761948,0.107959277927876
2007,3,0.0757289379835129,0.00758150313049555
2007,4,1.21519792079926,0.0247290916740894
2007,5,5.30102872848511,3.45454812049866
2007,6,11.9154233932495,15.9321517944336
2007,7,11.8939371109009,6.39913511276245
2007,8,6.19021701812744,6.15021657943726
2007,9,5.76932764053345,5.15619897842407
2007,10,5.97432708740234,4.86196327209473
2007,11,2.36295247077942,0.758065819740295
2007,12,3.06700086593628,0.802580714225769
2008,1,0.266640603542328,0.0108115747570992
2008,2,1.33019495010376,0.0608205497264862
2008,3,7.73561477661133,0.773652076721191
2008,4,1.97569990158081,0.0207812283188105
2008,5,3.12493252754211,1.98566806316376
2008,6,7.76911735534668,6.19266319274902
2008,7,9.71778202056885,5.20492887496948
2008,8,6.02274084091187,1.90713584423065
2008,9,2.7278299331665,3.79764986038208
2008,10,8.31611156463623,4.59193086624146
2008,11,3.55480170249939,0.790060222148895
2008,12,4.119788646698,1.48093688488007
2009,1,0.63042801618576,0.030998295173049
2009,2,0.0805706307291985,0.0122355036437511
2009,3,0.212759658694267,0.0701550394296646
2009,4,3.21700811386108,0.0422527529299259
2009,5,6.00824069976807,2.46934986114502
2009,6,8.23149394989014,11.0591192245483
2009,7,7.90804481506348,6.63106727600098
2009,8,5.39141750335693,4.62136888504028
2009,9,3.24146747589111,4.51501655578613
2009,10,1.99020862579346,1.53779268264771
2009,11,8.18322658538818,6.7785792350769
2009,12,2.98460483551025,0.8782599568367
2010,1,0.459417819976807,0.293222039937973
2010,2,0.302504926919937,0.0423671044409275
2010,3,0.223188385367393,0.0188525542616844
2010,4,1.16969728469849,0.276646345853806
2010,5,6.55085229873657,0.698803544044495
2010,6,11.7170162200928,13.1553726196289
2010,7,8.31931304931641,10.6623420715332
2010,8,11.8770685195923,8.77203464508057
2010,9,6.02249574661255,3.11533427238464
2010,10,6.10681772232056,3.4049859046936
2010,11,6.73226308822632,2.65854549407959
2010,12,3.08286690711975,0.93174135684967
2011,1,0.188074454665184,0.040761224925518
2011,2,0.371249556541443,0.00487669091671705
2011,3,0.0968900695443153,0.00655497517436743
2011,4,2.33046245574951,0.0138072967529297
2011,5,5.89555692672729,0.967346012592316
2011,6,5.85098171234131,10.0223007202148
2011,7,7.85496234893799,10.8790235519409
2011,8,8.18728446960449,8.41365528106689
2011,9,6.83783626556396,3.83224415779114
2011,10,5.61366748809814,3.88187289237976
2011,11,6.75247669219971,6.1014928817749
2011,12,0.60164600610733,0.0646277666091919
2012,1,0.577296376228333,0.399858713150024
2012,2,0.43299987912178,0.0073212101124227
2012,3,0.449220687150955,0.0150979654863477
2012,4,3.07764267921448,0.20963516831398
2012,5,0.809080839157104,0.00538034457713366
2012,6,7.07578754425049,10.0535955429077
2012,7,4.47518444061279,5.23313999176025
2012,8,10.3141012191772,8.19248390197754
2012,9,2.41240072250366,1.03693759441376
2012,10,7.31388711929321,1.98739063739777
2012,11,1.82162797451019,0.047530896961689
2012,12,2.263916015625,0.0872370675206184
2013,1,1.77007400989532,0.0270792730152607
2013,2,1.42212629318237,0.182949364185333
2013,3,1.50847375392914,0.29125440120697
2013,4,0.476786226034164,0.0520332790911198
2013,5,6.24209880828857,2.18364238739014
2013,6,12.2029657363892,7.20742511749268
2013,7,5.56324672698975,2.56920766830444
2013,8,4.31933164596558,0.834186792373657
2013,9,6.38898611068726,5.83574199676514
2013,10,2.61484885215759,1.82508707046509
2013,11,2.65983819961548,0.931219696998596
2013,12,1.64876592159271,0.138823300600052
2014,1,0.456679433584213,0.55387556552887
2014,2,0.436028093099594,0.22764727473259
2014,3,0.48934468626976,0.0119900424033403
2014,4,2.45151042938232,0.0491709634661674
2014,5,4.16923189163208,1.15676808357239
2014,6,6.38728427886963,3.80690979957581
2014,7,3.7118558883667,4.90508651733398
2014,8,9.3629093170166,7.58275508880615
2014,9,4.9664888381958,2.11858344078064
2014,10,6.05873203277588,4.28874635696411
2014,11,4.73754453659058,1.59535205364227
2014,12,2.38150525093079,0.401290506124496
2015,1,0.115391358733177,0.105583481490612
2015,2,0.114289879798889,0.75457090139389
2015,3,0.783107280731201,0.216328948736191
2015,4,3.03449201583862,0.641538739204407
2015,5,4.19694137573242,1.28046953678131
2015,6,6.62350034713745,9.59049797058105
2015,7,10.007716178894,1.30958580970764
2015,8,4.74899816513062,1.04310429096222
2015,9,4.74641990661621,2.46963548660278
2015,10,6.69378185272217,4.54850578308105
2015,11,4.71548795700073,5.557541847229
2015,12,5.74597358703613,0.920671880245209
2016,1,1.00403332710266,0.292068302631378
2016,2,0.501215696334839,0.199751764535904
2016,3,0.277716130018234,0.0731056556105614
2016,4,0.948291301727295,0.00104021967854351
2016,5,6.1684250831604,0.854365944862366
2016,6,8.7804536819458,16.2295684814453
2016,7,7.00940084457397,6.30119657516479
2016,8,3.69431614875793,0.581890463829041
2016,9,1.49768447875977,0.570568144321442
2016,10,1.00151300430298,0.479964733123779
2016,11,2.63874626159668,0.0801583752036095
2016,12,0.523559868335724,1.15824639797211
2017,1,0.628720760345459,0.0311969928443432
2017,2,0.439086735248566,0.00122827012091875
2017,3,2.0516402721405,0.0293936729431152
2017,4,0.395901203155518,0.00210304581560194
2017,5,8.70757102966309,0.671168744564056
2017,6,9.3564977645874,8.82974052429199
2017,7,4.17782783508301,2.18725442886353
2017,8,NA,NA
2017,9,NA,NA
2017,10,NA,NA
2017,11,NA,NA
2017,12,NA,NA
